Settling Time,Offset Error (%),Control,Perturbation,Set Point
368.4018691588785,14.21145784431849,P,0,SP1
183.67326650888148,3.871386102147626,PI,0,SP1
215.03904893875745,7.272555771752994,PID,0,SP1
859.98,21.903881641135293,P,0,SP2
483.2429906542056,10.941513028192643,PI,0,SP2
293.4408331893549,5.362818943584615,PID,0,SP2
960.0,20.776065932980156,P,1,SP1
949.96,15.153077007129776,PI,1,SP1
767.5794392523364,11.45284570995269,PID,1,SP1
960.0,22.717766013306605,P,1,SP2
778.7009345794393,14.63643874251126,PI,1,SP2
285.50376632898275,7.762257465525265,PID,1,SP2
329.33,13.708777405030293,P,2,SP1
186.21296015304804,3.494195210058256,PI,2,SP1
218.12279687990252,5.577313306355288,PID,2,SP1
671.5981308411215,20.06272708195005,P,2,SP2
256.47901432748813,9.287028331509635,PI,2,SP2
288.70093457943926,5.719932547501394,PID,2,SP2
294.06542056074767,12.233656266718723,P,3,SP1
195.04405708075015,2.7619169200497846,PI,3,SP1
224.73919707514435,2.5471318809630783,PID,3,SP1
604.6635514018692,19.083594455061057,P,3,SP2
261.6710846003998,7.915128007191809,PI,3,SP2
296.86996052400815,3.9645691526790943,PID,3,SP2
154.98782449919298,9.523367502426334,P,4,SP1
210.76,0.7176986947446314,PI,4,SP1
236.26073923335605,1.4862132390269904,PID,4,SP1
459.34,16.245887833258713,P,4,SP2
270.47,4.8709403153536694,PI,4,SP2
307.16842161073544,2.823992118637445,PID,4,SP2
444.9626168224299,16.99332149134157,P,5,SP1
188.8645497561131,3.3716770593650156,PI,5,SP1
218.28610647408343,6.293305709254916,PID,5,SP1
846.4579439252336,23.64116081135737,P,5,SP2
263.05516376653736,9.53809729566813,PI,5,SP2
294.71229172331607,5.1245701023960315,PID,5,SP2
299.4,12.536978677109017,P,6,SP1
190.98,2.361669798783297,PI,6,SP1
223.14323400738326,5.658087103491405,PID,6,SP1
686.4579439252336,19.831418825466642,P,6,SP2
262.7809190017503,7.6356133403181605,PI,6,SP2
296.27137250172024,4.809239403081183,PID,6,SP2
304.3644859813084,12.603347586931605,P,7,SP1
195.11542787542493,2.8741175867051063,PI,7,SP1
226.5072355797932,3.239247600423408,PID,7,SP1
629.26,19.087122460986908,P,7,SP2
262.725342938244,8.2457173353218,PI,7,SP2
298.3481828003191,4.150096829626082,PID,7,SP2
960.0,21.845987718664805,P,8,SP1
176.12523430761343,7.383955126581338,PI,8,SP1
209.46,5.823256840699378,PID,8,SP1
960.0,27.42653090724004,P,8,SP2
562.1214953271028,12.490640999258378,PI,8,SP2
277.4299065420561,7.30023140427808,PID,8,SP2
333.76635514018693,15.211262218142027,P,9,SP1
186.6233147193426,2.680872122027687,PI,9,SP1
220.5,5.6983375126633575,PID,9,SP1
656.1588785046729,21.804778376092372,P,9,SP2
256.2197738529642,8.678348050177332,PI,9,SP2
289.33,5.145207137139466,PID,9,SP2
155.68168834291282,9.803398558163515,P,10,SP1
206.14871083573206,1.1379980733484287,PI,10,SP1
233.35886998359325,1.9086596993106213,PID,10,SP1
456.30841121495325,16.64497108805935,P,10,SP2
268.1428367809631,5.507970777786629,PI,10,SP2
305.0174669397428,3.231193390077527,PID,10,SP2
389.61,14.932402806912995,P,11,SP1
188.59377992472352,3.881979772134413,PI,11,SP1
219.15,2.9134063618282835,PID,11,SP1
730.0,21.240980048317567,P,11,SP2
257.8404061870021,9.282952185992357,PI,11,SP2
290.85,4.320522725333146,PID,11,SP2
295.93457943925233,11.831430392978165,P,12,SP1
200.22,2.7790688262327903,PI,12,SP1
228.29427886336902,3.1048040132931427,PID,12,SP1
766.981308411215,19.409101663634,P,12,SP2
269.98,7.709909104605998,PI,12,SP2
302.3494208210609,4.607925893926916,PID,12,SP2
329.13,14.576587548194226,P,13,SP1
200.97,1.5693615705673685,PI,13,SP1
227.9252825371007,2.3208258514310827,PID,13,SP1
748.0280373831775,21.850547308643712,P,13,SP2
266.2173185048643,6.518517391710091,PI,13,SP2
300.91,3.882133107435563,PID,13,SP2
960.0,21.36786386191188,P,14,SP1
176.05764373900547,7.120838691561475,PI,14,SP1
752.4953271028037,12.310495886286766,PID,14,SP1
960.0,27.441540956874853,P,14,SP2
601.6728971962617,13.707100360823699,PI,14,SP2
273.1682242990654,9.05118855640612,PID,14,SP2
960.0,28.817530393201608,P,15,SP1
960.0,17.74121546129614,PI,15,SP1
849.9,12.470800923326268,PID,15,SP1
960.0,29.989765389084212,P,15,SP2
880.43,16.75646155026011,PI,15,SP2
268.85046728971963,8.685308791477473,PID,15,SP2
680.49,15.298542823728727,P,16,SP1
185.0513451742995,5.258050442257126,PI,16,SP1
216.15139302179335,2.935223205494479,PID,16,SP1
801.6728971962617,21.65185769800334,P,16,SP2
437.6542056074766,10.60643472889116,PI,16,SP2
288.25233644859816,5.428876820627145,PID,16,SP2
960.0,33.303390278163356,P,17,SP1
960.0,23.204579042568486,PI,17,SP1
960.0,19.279578758218875,PID,17,SP1
960.0,33.27961584505116,P,17,SP2
960.0,22.781777847934116,PI,17,SP2
