Set Point,Control,X_mean,Y_mean,X_std,Y_std,X_extent,Y_extent,n
SP1,P,659.888,16.586,335.801,4.782,"(324.09, 995.69)","(11.8, 21.37)",50
SP1,PI,200.471,5.482,115.689,2.846,"(84.78, 316.16)","(2.64, 8.33)",50
SP1,PID,262.265,5.743,188.443,2.796,"(73.82, 450.71)","(2.95, 8.54)",50
SP2,P,895.152,23.549,176.269,4.509,"(718.88, 1071.42)","(19.04, 28.06)",50
SP2,PI,513.6,11.178,232.328,2.368,"(281.27, 745.93)","(8.81, 13.55)",50
SP2,PID,288.562,5.396,8.693,1.133,"(279.87, 297.26)","(4.26, 6.53)",50
