Set Point,Control,X_mean,Y_mean,X_std,Y_std,X_extent,Y_extent,n
SP1,P,546.66,16.548,320.701,6.445,"(225.96, 867.36)","(10.1, 22.99)",50
SP1,PI,351.478,6.567,310.717,6.173,"(40.76, 662.19)","(0.39, 12.74)",50
SP1,PID,357.247,6.328,271.114,4.781,"(86.13, 628.36)","(1.55, 11.11)",50
SP2,P,766.708,21.971,178.169,4.795,"(588.54, 944.88)","(17.18, 26.77)",50
SP2,PI,460.529,10.739,251.683,4.213,"(208.85, 712.21)","(6.53, 14.95)",50
SP2,PID,309.459,5.4,106.214,2.248,"(203.25, 415.67)","(3.15, 7.65)",50
