Settling Time,Offset Error (%),Control,Perturbation,Set Point
367.4299065420561,13.88175720472341,P,0,SP1
181.545730379685,3.7418038151333564,PI,0,SP1
210.46,7.067166252181785,PID,0,SP1
856.4579439252336,21.21084923849967,P,0,SP2
460.2,10.5314406045987,PI,0,SP2
290.2,5.15449721510509,PID,0,SP2
960.0,20.210480186967043,P,1,SP1
933.7663551401869,14.642158661597419,PI,1,SP1
745.3364485981308,11.078898661084173,PID,1,SP1
960.0,21.97671896698121,P,1,SP2
765.1121495327103,14.089046119154288,PI,1,SP2
282.2218356672557,7.385364766532557,PID,1,SP2
328.25233644859816,13.400345226448634,P,2,SP1
184.17356906481297,3.37134447425343,PI,2,SP1
213.2249140686249,5.377941188586691,PID,2,SP1
667.7289719626168,19.433605785683504,P,2,SP2
255.0568821974028,8.928575196924326,PI,2,SP2
286.30841121495325,5.485429268901735,PID,2,SP2
293.01869158878503,11.984275146094006,P,3,SP1
192.89834013126753,2.666777331264145,PI,3,SP1
219.68,2.465089105021713,PID,3,SP1
600.38,18.483444084427077,P,3,SP2
260.18,7.608839051974208,PI,3,SP2
293.4915482717069,3.807228912465084,PID,3,SP2
153.37225042801055,9.37440831211713,P,4,SP1
208.39268837141125,0.7176277642649768,PI,4,SP1
231.3579076817726,1.435864618138183,PID,4,SP1
457.7289719626168,15.778295528531652,P,4,SP2
268.8030837047874,4.6951624462499035,PI,4,SP2
303.57487595085064,2.716293837533953,PID,4,SP2
444.2897196261682,16.586250063118587,P,5,SP1
186.76504152709174,3.2477125284678094,PI,5,SP1
214.1452194183605,6.064191195896269,PID,5,SP1
841.5233644859813,22.860637104561082,P,5,SP2
261.49408262736506,9.164319996370612,PI,5,SP2
291.27674931943756,4.917481947133742,PID,5,SP2
298.70093457943926,12.278894852303129,P,6,SP1
188.72958591504565,2.2880516912113187,PI,6,SP1
217.25672084442493,5.4221965987727865,PID,6,SP1
682.9439252336449,19.210919723758742,P,6,SP2
261.1395662453077,7.341279048744892,PI,6,SP2
292.8057040396003,4.613130978519413,PID,6,SP2
303.5420560747664,12.348728284422599,P,7,SP1
193.0390684277379,2.7754852078329764,PI,7,SP1
221.7342982211115,3.087088291111889,PID,7,SP1
625.1121495327103,18.490680880737315,P,7,SP2
261.2017598514074,7.927692703535268,PI,7,SP2
294.94432857008474,3.9865686801448343,PID,7,SP2
960.0,21.258344544074514,P,8,SP1
174.25327182554375,7.177754138895348,PI,8,SP1
205.71503209527742,6.086805572295677,PID,8,SP1
960.0,26.472867879556016,P,8,SP2
540.23,11.996422257873137,PI,8,SP2
274.7383177570093,7.060976848910348,PID,8,SP2
333.4672897196262,14.860874699953012,P,9,SP1
184.6540046164023,2.5838365326772266,PI,9,SP1
215.20537398744662,5.473301448915262,PID,9,SP1
652.2710280373832,21.09078729718976,P,9,SP2
254.79730787238344,8.337580335833938,PI,9,SP2
286.9065420560748,4.932972065176725,PID,9,SP2
154.08962889906,9.648475686273075,P,10,SP1
203.90828398161432,1.1060634206172875,PI,10,SP1
228.64739755767687,1.8360698824206794,PID,10,SP1
454.14018691588785,16.143440452399485,P,10,SP2
266.56034976956,5.296210696226587,PI,10,SP2
300.81,3.1037674093899894,PID,10,SP2
386.0841121495327,14.590587564161254,P,11,SP1
186.56264095219544,3.7407343866943945,PI,11,SP1
214.4842277056466,2.838910469049488,PID,11,SP1
724.588785046729,20.548620009220617,P,11,SP2
256.4231036551378,8.920975837209962,PI,11,SP2
288.02803738317755,4.153380958724537,PID,11,SP2
294.9626168224299,11.605467964046587,P,12,SP1
197.79752496009928,2.731488784023004,PI,12,SP1
223.35324218604146,2.99432981280563,PID,12,SP1
763.9906542056075,18.821802929237183,P,12,SP2
268.34247745148747,7.423542239576769,PI,12,SP2
299.06,4.428706920519985,PID,12,SP2
329.01,14.267867707353474,P,13,SP1
198.59998505298498,1.5230300976408127,PI,13,SP1
223.26766563927993,2.2313035880826284,PID,13,SP1
743.4672897196261,21.147629041352463,P,13,SP2
264.56091563727693,6.267573234347236,PI,13,SP2
297.76234271234034,3.729057226342535,PID,13,SP2
960.0,20.784222053816404,P,14,SP1
174.185206617887,6.944676324743577,PI,14,SP1
728.2523364485982,11.807620914378965,PID,14,SP1
960.0,26.489946755820593,P,14,SP2
584.9626168224299,13.166211756063742,PI,14,SP2
271.3738317757009,8.761151395462509,PID,14,SP2
960.0,27.942105660090427,P,15,SP1
960.0,17.10794517603198,PI,15,SP1
778.8504672897196,11.271992855509344,PID,15,SP1
960.0,28.93334621869206,P,15,SP2
866.3831775700935,16.116914316346715,PI,15,SP2
267.2056074766355,8.33714321277438,PID,15,SP2
674.588785046729,14.937919418228162,P,16,SP1
183.0769441135883,5.146663456645186,PI,16,SP1
211.62266297582994,2.8173305228498915,PID,16,SP1
795.2616822429907,20.939664817043656,P,16,SP2
412.49532710280374,10.190523450711902,PI,16,SP2
285.7102803738318,5.2045807273264355,PID,16,SP2
960.0,32.254601230671355,P,17,SP1
960.0,22.39841771769267,PI,17,SP1
960.0,18.561838717896755,PID,17,SP1
960.0,32.09928741925319,P,17,SP2
960.0,21.917208270909104,PI,17,SP2
269.16,8.022745936441963,PID,17,SP2
274.4392523364486,10.513414627267274,P,18,SP1
193.56345854953935,1.6207075200893903,PI,18,SP1
221.48374379958912,2.7364143556229235,PID,18,SP1
613.6915887850467,17.319140402798595,P,18,SP2
266.1609981516449,7.527353385387735,PI,18,SP2
298.36914886788617,4.1878111104461695,PID,18,SP2
272.86915887850466,10.982820687033445,P,19,SP1
197.59992808720025,1.7844169152166518,PI,19,SP1
223.7730391139463,2.02096594790536,PID,19,SP1
578.1775700934579,17.9266364957641,P,19,SP2
262.74657812948715,6.467427117943927,PI,19,SP2
296.59822040581474,3.5700901752390415,PID,19,SP2
344.9626168224299,14.847722800660796,P,20,SP1
184.1009265289731,2.3057008954133407,PI,20,SP1
212.7357797340554,5.964160368811579,PID,20,SP1
744.8130841121496,21.434574888546997,P,20,SP2
256.807370395511,8.133966344906538,PI,20,SP2
289.55,4.145788102693369,PID,20,SP2
156.57924385881066,9.042979040795386,P,21,SP1
219.07,0.7664511391174047,PI,21,SP1
239.17,1.3791946480742996,PID,21,SP1
439.07,14.980385107348217,P,21,SP2
278.03520085837454,4.1388849609931055,PI,21,SP2
309.94,2.5419523290998587,PID,21,SP2
372.196261682243,15.48245968297648,P,22,SP1
181.13763757012052,3.6709881638733304,PI,22,SP1
208.47431747442886,4.495884676095373,PID,22,SP1
747.4299065420561,21.816171900078693,P,22,SP2
252.75918334219705,9.320664566348084,PI,22,SP2
282.7196261682243,5.98084061483396,PID,22,SP2
960.0,17.86161347080507,P,23,SP1
790.87,11.516032317977473,PI,23,SP1
211.91234091509816,8.090817046005617,PID,23,SP1
960.0,21.702634321786615,P,23,SP2
713.8411214953271,12.495734214411053,PI,23,SP2
