,Set point 1,Set point 2,Constant Green,Constant Red,Time (min)
41,0.07994423836824834,0.08051716840250542,0.08143131784403904,0.07854149889702167,41.04275286757039
42,0.08109836597145971,0.08171504408519031,0.08268775672623092,0.07957277058287313,42.04379562043796
43,0.0822536094485663,0.08291630475037093,0.08395039654266233,0.08059718816794324,43.04483837330553
44,0.08341104615180055,0.08412150014300204,0.08521926675563579,0.08161435187911402,44.0458811261731
45,0.08457164793553153,0.08533146062677889,0.08649445797734419,0.0826236756735553,45.04692387904067
46,0.08573566107706608,0.08654694910958038,0.08777609888504789,0.08362444712446924,46.047966631908245
47,0.08690282794356996,0.08776821381350061,0.08906430228590725,0.0846158990548058,47.049009384775815
48,0.0880725722217137,0.08899504150174661,0.09035920071912487,0.08559717714091175,48.050052137643384
49,0.08924418792107323,0.09022697110811312,0.09166090424105482,0.08656741704215816,49.05109489051095
50,0.09041688714891859,0.09146342591846654,0.09296953618882224,0.08752571064593317,50.05213764337852
51,0.0915899522818459,0.09270385610143744,0.0942851451972125,0.08847125413874903,51.0531803962461
52,0.09276292914005994,0.09394788609977706,0.09560768295003921,0.08940355193467889,52.05422314911367
53,0.0939362204960999,0.09519558751553646,0.096937128724595,0.09032218081279325,53.05526590198124
54,0.09511150359728661,0.09644767404665928,0.098273509982896,0.0912265808051203,54.056308654848806
55,0.09629031737804923,0.09770523221899681,0.0996169212137563,0.09211596074032322,55.057351407716375
56,0.09747309560846183,0.09896925858907386,0.10096747539702161,0.09298943740220539,56.058394160583944
57,0.09865949240074352,0.10024007252123907,0.10232528636097396,0.09384605556287216,57.05943691345152
58,0.09984871270046758,0.10151739587701784,0.10369048259202433,0.09468477841241273,58.06047966631909
59,0.10103973923574577,0.10280063926250377,0.1050631630080176,0.09550463539957528,59.06152241918666
60,0.10223145173425205,0.10408905695340802,0.10644344955346903,0.09630458352145074,60.06256517205423
61,0.10342280311616525,0.10538193255480983,0.1078313838321374,0.09708375461493828,61.0636079249218
62,0.10461307979255158,0.10667875436880474,0.10922692195155823,0.09784162590051691,62.06465067778937
63,0.10580284958252159,0.10797958227495756,0.11063003250249369,0.09857783075638882,63.06569343065694
64,0.10699457356941887,0.10928531631955735,0.11204074554156368,0.0992918757123362,64.06673618352451
65,0.10819031907143163,0.11059733235668279,0.1134591555982087,0.09998304654421819,65.06777893639209
66,0.10939058857166666,0.11191681583540937,0.11488535908995204,0.10065063529288867,66.06882168925965
67,0.11059484333071687,0.1132440637114115,0.11631947472736683,0.10129381135559269,67.06986444212723
68,0.11180199284907,0.11457867497911496,0.11776161321871989,0.10191178839880748,68.07090719499479
69,0.11301061629394293,0.11591988139924476,0.11921187422742872,0.10250385101441639,69.07194994786236
70,0.11421920807220151,0.11726675284768613,0.12067037181661405,0.10306924092638246,70.07299270072994
71,0.11542633221499785,0.11861838853514445,0.12213713918197458,0.10360744183411101,71.0740354535975
72,0.11663097702471616,0.11997413008995286,0.12361213877713181,0.10411826711811667,72.07507820646508
73,0.11783400951422553,0.12133404561384621,0.12509532450900376,0.10460179144327451,73.07612095933264
74,0.11903914483531461,0.12269928272834797,0.12658673470526197,0.10505792318446873,74.07716371220022
75,0.12024951069733972,0.12407159617325804,0.12808644639971123,0.10548645881663134,75.0782064650678
76,0.12146594296576797,0.12545248210262497,0.12959455389102528,0.10588718876085887,76.07924921793536
