,Param name,Param
0,k_green,0.8
1,k_red,0.8
2,b_green,0.1
3,b_red,0.4
4,k_sp_b,0.05
5,k_sp_u,25
6,k_rp_b,100
7,k_rp_u,0.5
8,beta,1
9,l0,0.15
10,Kc,4
11,d_m,0.1
12,k_tl,1
13,d_p,0.007
14,k_fold,0.1
15,b_fold,1
16,S_0,10
17,R_0,10
18,Sp_0,100
19,Rp_0,100
20,mRNA_0,0
21,P_0,0
22,Pm_0,50
23,n_tcs,1
