,Set point 1,Set point 2,Constant Green,Constant Red,Time (min)
0,0.037053927969772436,0.037053927969772436,0.037053927969772436,0.037053927969772436,0.0
1,0.03752534337863722,0.03752534474834632,0.037525344748345964,0.03752534474835255,1.0010427528675705
2,0.03811439682241696,0.03811446184693782,0.0381144618469291,0.03811443935352445,2.002085505735141
3,0.038810551596955324,0.03881057952879535,0.038810579528768055,0.03881023147985342,3.0031282586027115
4,0.03959543188238562,0.039595448817945474,0.03959544881427873,0.03959392390466083,4.004171011470282
5,0.04045136105457966,0.04045147027424176,0.040451470209034626,0.040447539394148364,5.005213764337853
6,0.04136337921299559,0.04136323441433471,0.04136323448906538,0.04135508709150441,6.006256517205423
7,0.04231957527893425,0.04231960214977122,0.0423196021719299,0.04230517577801561,7.007299270072993
8,0.04331031012306112,0.04331036912050552,0.04331036909153477,0.04328734990258898,8.008342022940564
9,0.04432811857606803,0.044328508174968716,0.04432850815784855,0.04429428497553262,9.009384775808135
10,0.04536706623446686,0.04536842382998267,0.045368423811089034,0.0453201680309648,10.010427528675706
11,0.04642256683989467,0.04642582516474653,0.04642582514467871,0.04636059252396496,11.011470281543275
12,0.04749114737631875,0.04749734921957434,0.04749734919875293,0.047412282087039584,12.012513034410846
13,0.048570287510471634,0.04858044214686601,0.04858044212558566,0.04847276570572364,13.013555787278417
14,0.04965825830077906,0.049673276987906995,0.049673276966379735,0.04954011604750434,14.014598540145986
15,0.0507538383129546,0.05077458215036587,0.050774582128729255,0.050612818261323744,15.015641293013557
16,0.05185629202446391,0.05188316172662811,0.051883161704972876,0.051689528010174665,16.016684045881128
17,0.05296508024326225,0.05299859291317671,0.05299859289158113,0.052769399832254905,17.017726798748697
18,0.054079814992539166,0.054120440034125486,0.05412044001264404,0.05385160607283268,18.01876955161627
19,0.05520006269633798,0.055248284462244744,0.05524828444090831,0.054935421826885024,19.01981230448384
20,0.05632532015149871,0.05638184497604296,0.05638184495486888,0.05602032278064453,20.02085505735141
21,0.05745511952782675,0.05752097416567727,0.05752097478541401,0.057105896199011956,21.02189781021898
22,0.05858910814899568,0.05866542737494153,0.058665429984817934,0.05819191971355754,22.02294056308655
23,0.059727118117344595,0.059815025978701065,0.05981502498178221,0.05927824067320204,23.023983315954123
24,0.060869205055638684,0.06096969485443279,0.060969695795418964,0.06036464351054089,24.025026068821692
25,0.06201555189918821,0.062129445683621505,0.06212944670267577,0.061450851553969614,25.02606882168926
26,0.0631662530938797,0.06329433793920139,0.06329433776125942,0.06253655041718047,26.027111574556834
27,0.06432120878928912,0.06446446561011641,0.0644644634959233,0.06362139904834124,27.028154327424403
28,0.06548018966990174,0.06563991716492944,0.06563991731317632,0.06470504477975196,28.029197080291972
29,0.06664290882201618,0.06682077972266752,0.06682080383753619,0.06578711303039934,29.030239833159545
30,0.06780906744088468,0.06800700127585574,0.0680072185204197,0.0668672279763859,30.031282586027114
31,0.0689784141700313,0.06919842860666926,0.06919920788427687,0.06794508122878135,31.032325338894687
32,0.07015081957365732,0.07039490390585554,0.07039671298991414,0.06902054617707953,32.033368091762256
33,0.07132636760566997,0.0715963641307952,0.07159969779851702,0.07009352860814513,33.034410844629825
34,0.0725054210583397,0.07280287524296448,0.07280819618072883,0.07116380162744324,34.035453597497394
35,0.07368848143028725,0.07401457752371168,0.07402228849982045,0.07223101247414533,35.03649635036497
36,0.07487589866846209,0.0752316608424642,0.07524211085749702,0.07329470748461284,36.03753910323254
37,0.07606770628054733,0.07645432551896812,0.07646777655269975,0.0743543866530691,37.03858185610011
38,0.07726373161139953,0.07768275767631379,0.07769941476876198,0.07540949796480384,38.03962460896768
39,0.07846368813030448,0.07891712568926647,0.07893714856222447,0.07645944778535833,39.04066736183525
40,0.07966724460710568,0.08015743332354697,0.08018109834654347,0.07750362721224631,40.04171011470282
41,0.08087410651917337,0.08140356470983985,0.08143131784403904,0.07854149889702167,41.04275286757039
42,0.08208411530492912,0.08265539097326485,0.08268775672623092,0.07957277058287313,42.04379562043796
43,0.08329739950214295,0.08391287157201266,0.08395039654266233,0.08059718816794324,43.04483837330553
44,0.0845144805350392,0.08517609514793341,0.08521926675563579,0.08161435187911402,44.0458811261731
45,0.0857359788092352,0.08644523177493998,0.08649445797734419,0.0826236756735553,45.04692387904067
46,0.08696216653914411,0.08772049152392447,0.08777609888504789,0.08362444712446924,46.047966631908245
47,0.08819295393068906,0.08900208769036562,0.08906430228590725,0.0846158990548058,47.049009384775815
48,0.08942804009615606,0.0902902255450706,0.09035920071912487,0.08559717714091175,48.050052137643384
49,0.09066701670870349,0.09158501674208219,0.09166090424105482,0.08656741704215816,49.05109489051095
50,0.09190942982888622,0.0928863721933922,0.09296953618882224,0.08752571064593317,50.05213764337852
51,0.09315487680907154,0.09419411857823475,0.0942851451972125,0.08847125413874903,51.0531803962461
52,0.09440312990945884,0.09550810269921933,0.09560768295003921,0.08940355193467889,52.05422314911367
53,0.09565438009067057,0.09682828208278885,0.096937128724595,0.09032218081279325,53.05526590198124
54,0.09690941719092838,0.0981547660159537,0.098273509982896,0.0912265808051203,54.056308654848806
55,0.09816918967236915,0.09948775842215167,0.0996169212137563,0.09211596074032322,55.057351407716375
56,0.09943412921424252,0.10082750551995591,0.10096747539702161,0.09298943740220539,56.058394160583944
57,0.10070414069626844,0.10217425445463879,0.10232528636097396,0.09384605556287216,57.05943691345152
58,0.10197882443255747,0.10352824380117369,0.10369048259202433,0.09468477841241273,58.06047966631909
59,0.10325760014484116,0.10488960085958701,0.1050631630080176,0.09550463539957528,59.06152241918666
