,G1,SP2_1,SP2_2,SP2_3,SP2_4,SP2_5,SP2_6,R1,SP1_1,SP1_2,SP1_3,SP1_4,SP1_5,SP1_6,NC,Time
0,1756.2594268476616,493.06477454795146,2202.573529411765,2032.7365728900252,1913.6180499597097,2350.051599587204,2049.2997198879552,1675.8967001434717,2161.853832442068,1797.0951343500358,1639.311334289813,2636.601307189543,2599.564270152506,1886.6013071895422,141.1764705882353,10
1,1702.2222222222217,465.33333333333337,2136.4102564102564,2013.3333333333335,1747.5438596491226,2572.592592592593,2010.3030303030305,1650.833333333333,2136.8627450980393,1788.6419753086416,2019.2156862745096,2491.299435028249,2550.1754385964914,2197.9487179487182,186.66666666666663,20
2,1991.6839916839913,520.5687615326169,2307.5348075348074,2352.989352989353,1837.8378378378375,2544.734389561976,2133.6124857251616,1718.7902187902191,2819.9806949806953,2171.171171171171,2425.1394251394254,2706.6902968542313,2587.837837837838,2641.116526362428,162.16216216216213,30
3,2362.2807017543855,589.7316821465429,2539.092295957284,2414.661654135338,1934.8297213622293,2587.0118845500847,2148.947368421052,1775.1839275608377,2947.5914362176627,2297.3017988007987,2481.1212814645305,2798.644338118022,2657.0723684210525,2586.52312599681,171.05263157894734,40
4,2840.1065956029306,722.2800083211982,2902.1497405485543,2789.473684210526,2201.2383900928794,2803.7593984962405,2664.473684210526,1930.7780320366132,3281.7813765182186,2622.8070175438597,2789.473684210526,3060.9022556390973,2936.532507739938,3106.934001670844,210.52631578947364,50
5,3515.5744930943274,965.2319464371114,3382.426516572857,3249.4730502860575,2951.2195121951213,3333.223467369808,3108.472400513478,2173.1177094379636,3792.6829268292677,3167.682926829268,3292.6829268292677,3632.6829268292677,3373.764007910349,3482.82377189969,207.31707317073167,60
6,4400.619914761721,1366.04774535809,4074.6450304259633,4034.48275862069,3875.778977980888,4065.0862068965507,3767.345243041129,2712.6436781609195,4536.446966390222,3978.123841305154,4065.68144499179,4402.586206896551,4131.3836752509815,4288.112522686025,172.41379310344828,70
7,5372.006940427993,1772.201872201872,4922.121356903966,4942.691716885266,4679.60927960928,4938.613111026905,4576.737868872701,2845.9175233368783,5525.641025641026,4956.3769563769565,5026.176071119892,5277.025300281115,4989.926739926741,5412.087912087912,164.83516483516485,80
8,6406.665999399459,2266.987734216269,5873.838930284781,6012.452791670919,5528.718703976436,5846.011937059143,5396.065642751946,2971.2957347887605,6683.998207082026,6069.149970822797,5989.690721649485,6362.820086464915,5999.215598386374,6485.02122498484,185.56701030927834,90
9,7476.7052767052755,2861.7522453821384,6938.31367409349,7161.640211640211,6463.90743213173,6828.851540616246,6400.0,3112.625600698995,7759.6416784535595,7252.675937631689,7085.714285714285,7333.610725843735,7061.471861471861,7560.983102918587,180.95238095238093,100
10,8652.022618529796,3405.8636524196395,8108.771929824563,8543.859649122805,7403.5087719298235,7939.450395901256,7429.824561403508,3223.4611953612844,9025.591501690003,8522.433132010354,8137.757437070939,8598.86201991465,8225.282833251353,8640.182186234817,157.89473684210523,110
11,9890.416141235813,4057.165520888419,9129.976580796252,9375.031525851198,8058.548009367681,8652.262295081968,8484.262295081968,3203.040921036166,10222.41355558617,9897.29259811227,9360.65573770492,9778.688524590165,9264.430362308858,9862.119437939109,155.7377049180328,120
12,10904.471101417666,5043.4066756473585,10183.042529989094,10629.936939926982,9262.821202021287,9774.864476158868,9394.77349974926,3377.9404891727677,11091.603053435114,10974.987818742893,10402.072769822254,10684.365281311846,10751.32824427481,11435.563538392456,152.67175572519082,130
13,11764.468864468863,5669.06222611744,10847.43935309973,11447.926267281106,10252.62206148282,10715.988647114475,10153.074739829706,3337.773882559159,12038.030888030888,11809.584086799276,11268.571428571428,11466.155321188877,11010.38961038961,11638.790406673617,171.42857142857142,140
14,12746.603107874784,6152.847152847153,11660.705216571137,12322.24025974026,11133.135226355565,11414.602839021443,10752.383454695593,3389.1108891108893,12934.481685978693,12722.157730537618,12257.834979391866,12243.506493506495,12007.882055051863,12877.860235003089,149.35064935064932,150
15,13523.098244533414,6873.993808049536,12592.737094837934,13134.191176470587,11715.18607442977,12244.475568004978,11647.67801857585,3337.789661319073,13528.473091364205,13712.316176470587,12976.597090449082,12943.850267379677,12723.727693324521,13645.624103299857,147.05882352941177,160
16,14447.221648419747,7598.5302700695065,13266.35145784082,13978.520770010131,12546.033008550407,13096.464179257888,12294.970986460348,3358.7741557681043,14357.666911225238,14491.143235264175,13780.72403937758,13736.465135875289,13335.323491098567,14173.758865248228,159.5744680851064,170
17,15360.494157523859,8523.01799523018,14199.124633493393,14930.780302699875,13421.050365906158,13846.980644010346,13095.929592959297,3399.602303326567,15070.66323070663,15309.262926292631,14653.3284664872,14556.554272938813,14146.723243752946,15095.008464577028,148.5148514851485,180
18,16229.924242424244,9570.308092861793,15027.718360071302,15661.51026392962,14417.795362532206,14700.095093191328,13963.693419551162,3393.7062937062933,15679.924242424244,15814.008941877795,15209.301879555045,15071.856866537719,14688.785232235015,15312.361937128291,140.90909090909088,190
19,17004.728365266215,10288.032220943613,15813.314238196434,16249.648382559773,14882.8997150731,15441.528724440117,14536.332012754856,3389.128287997127,16078.316745579283,16362.660634355298,15558.433912275537,15358.798709357161,15026.082074316048,16106.373528758608,139.24050632911394,200
20,17705.78885728626,10803.382663847782,16225.01361126235,16958.367214181166,15401.281442809684,15927.841002803892,15090.430273073496,3362.104460541365,16227.956282356807,16652.71863740583,15932.667282344051,15582.486776928889,15399.49857352814,16219.336084021006,139.53488372093022,210
21,18439.30277504285,11621.120956861028,16808.021209386283,17768.728176599398,15968.58291824704,16411.35112741907,15658.662496031233,3326.2455977654863,16504.875445266684,17026.470129652065,16283.815700911704,15856.923801359526,15713.367463741683,16575.53300183911,126.3537906137184,220
22,19137.5,12870.983935742972,17652.126099706744,18558.8905775076,16711.79525222552,17270.06172839506,16602.554179566563,3362.2521246458928,16676.242236024846,17094.135802469136,16474.3690851735,16106.974921630093,15842.741935483871,16808.566433566433,125.0,230
23,19667.21675192988,13689.242738212091,18320.789178943738,19097.07097933513,17418.65828092243,17836.749859532738,17043.26827773873,3366.2773285414796,16809.31708131574,17155.373256767838,16546.83288409703,16087.664128875647,15871.201788285216,16877.471165468214,125.78616352201257,240
24,20495.361454929003,14416.427688037025,18914.807528119083,19715.457183199116,17986.20784457478,18355.44247024323,17555.977229601518,3352.202302702859,16750.11108148938,17138.86493013628,16625.451629105166,16132.327350069285,15913.556008416588,16788.95405669599,123.16715542521993,250
25,21308.760683760684,15046.048513302036,19409.967320261436,20376.85185185185,18634.941520467833,19005.875248650183,18316.45299145299,3346.912864140242,16626.7094017094,16994.19191919192,16649.591088550478,16481.61938534279,15984.278959810874,16840.32567049808,119.44444444444444,260
26,21890.984852750717,16005.137456370838,20072.061737407446,20834.309165526673,18890.61748195669,19296.86647013866,18829.475647213687,3390.214436726065,16703.027860925624,16999.66295921806,16592.767385000283,15805.336132132794,15730.255583697903,16582.929373504325,116.27906976744185,270
27,22499.89930633251,16827.37127371274,20465.20531028095,21259.03302395856,19253.056699398167,19746.362952616313,19193.348115299337,3409.566173530588,16406.401007672048,16692.4506387921,16404.866783078916,15782.92682926829,15670.310006838383,16494.45565132343,117.07317073170731,280
28,22835.295584311967,17088.894783377542,20547.39608327049,21435.127022476026,19724.804881509863,20051.939655172417,19401.879143415845,3440.5478112007827,16229.698664181426,16492.159815288866,16180.307863689302,15515.015896307166,15463.852995896732,16246.6943833048,112.64367816091952,290
29,23551.778395784542,17856.0554029304,21184.55357142857,22077.656024531025,20216.334393346377,20376.686408531346,19663.44246031746,3488.7074986821294,16164.958231146538,16247.550087108015,16035.863095238097,15247.550087108015,15063.131027727548,15823.530880472998,118.30357142857144,300
30,24408.51200824158,18841.91929006348,21531.58454448777,22473.018832742866,20995.02977505629,21282.731947809087,20617.941985496374,3621.5053763440856,16157.00260468844,16297.569892473119,15934.225762918462,15250.158127767236,15023.586119653646,16061.987474890702,120.43010752688173,310
