,G1,SP2_1,SP2_2,SP2_3,R1,SP1_1,SP1_2,SP1_3,NC,Time
0,2571.4285714285716,1879.1666666666663,3647.4358974358965,2825.396825396825,2315.3153153153153,1210.6666666666663,3000.0,1273.5042735042732,333.33333333333326,10
1,2488.2688649334173,1859.7147209527768,3751.4267596702603,2919.383416017009,2510.389383621442,1152.6413345690453,3796.834396409164,1343.4232798964451,301.20481927710836,20
2,2586.8637110016416,2010.6732348111655,3873.5632183908046,3123.0244252873563,2110.787979504223,1263.1932209077945,3912.6878868258163,1457.4519462957594,298.8505747126437,30
3,2801.6233766233763,2259.1189674523002,4129.702194357367,3403.409090909091,1759.387351778656,1330.1948051948052,4141.835016835017,1596.250971250971,284.0909090909091,40
4,3271.346254583551,2675.4711152301506,4510.108229528283,3724.1890639481,1834.6936131623268,1524.969442989349,4352.305774823432,1880.0419067574642,337.3493975903614,50
5,3866.0714285714284,3255.9210526315783,4939.087301587301,4299.264705882352,1897.9166666666665,1856.478102189781,4766.532258064516,2570.1923076923076,362.49999999999994,60
6,4941.762937173603,4447.490636704119,5718.27495042961,4944.427573641056,2060.2959172321725,2137.2445516929342,5446.8845760980585,3490.483833983031,325.8426966292135,70
7,5857.894736842104,5783.273251622206,6552.062588904693,5711.184210526315,2126.514399205561,2740.7983044860475,6052.062588904693,4390.855927698033,326.3157894736842,80
8,7208.800907830033,6639.320388349513,7183.438035408339,6467.098166127293,2247.878946908073,4337.320388349513,6524.614505996574,4962.047661076786,310.6796116504854,90
9,8367.416568930586,7638.1624738987775,7987.6474926253695,7126.814159292036,2386.305684715764,6726.522897156113,7301.920542270759,5792.444411392875,283.1858407079646,100
10,8623.37561881188,8449.258207070707,9762.38952020202,8722.770024271844,2509.104793233083,8237.600344036697,8328.725961538461,6805.679563492062,257.81249999999994,110
11,9894.405594405593,9174.45386471935,10647.783409251299,9528.436165604306,2621.2941987589875,8992.89044289044,9376.223776223775,7629.164952694366,223.7762237762238,120
