,Param name,Param
0,k_green,0.8
1,k_red,1.3
2,b_green,0.03
3,b_red,0.8
4,k_sp_b,0.05
5,k_sp_u,25
6,k_rp_b,55
7,k_rp_u,0.08
8,beta,28
9,l0,1e-5
10,Kc,45
11,d_m,0.27
12,k_tl,2
13,k_tli_b,40
14,k_tli_u,12
15,d_p,0.0008
16,k_fold,0.3
17,b_fold,1
18,n_gamma,0.889
19,R_max,4
20,S_0,1
21,R_0,180
22,Sp_0,1
23,Rp_0,30
24,mRNA_0,1
25,P_0,1
26,Pm_0,15
27,k_gr,0.011
28,C_max,713694117.0
29,C_0,46870588.0
30,n_tcs,1
