Set Point,Control,X_mean,Y_mean,X_std,Y_std,X_extent,Y_extent,n
SP1,P,718.889,21.612,181.207,2.741,"(537.68, 900.1)","(18.87, 24.35)",9
SP1,PI,330.0,8.947,304.368,5.039,"(25.63, 634.37)","(3.91, 13.99)",6
SP1,PID,310.0,9.418,176.748,2.08,"(133.25, 486.75)","(7.34, 11.5)",6
SP2,P,636.667,16.693,164.393,2.934,"(472.27, 801.06)","(13.76, 19.63)",9
SP2,PI,486.667,12.583,141.516,2.708,"(345.15, 628.18)","(9.87, 15.29)",6
SP2,PID,313.333,3.92,13.663,2.986,"(299.67, 327.0)","(0.93, 6.91)",6
